date,time,product,temperature,vibration,information
2022-07-07,14:04:10,-,-,-,-
2022-07-07,14:04:10,0,25.55,0.09,-
2022-07-07,14:04:12,0,25.57,0.01,-
2022-07-07,14:04:13,0,25.54,0.0,-
2022-07-07,14:04:14,0,25.56,0.0,-
2022-07-07,14:04:15,0,25.52,0.01,-
2022-07-07,14:04:16,0,25.54,0.01,-
2022-07-07,14:04:17,0,25.54,0.01,-
2022-07-07,14:04:18,0,25.56,0.02,-
2022-07-07,14:04:56,0,25.72,0.11,-
2022-07-07,14:04:58,0,25.68,0.0,-
2022-07-07,14:04:59,0,25.68,0.01,-
2022-07-07,14:05:00,0,25.81,0.01,-
2022-07-07,14:05:01,0,25.68,0.0,-
2022-07-07,14:05:02,0,25.66,0.01,-
2022-07-07,14:05:41,0,25.75,0.1,-
2022-07-07,14:05:43,0,25.8,0.01,-
2022-07-07,14:05:44,0,25.77,0.02,-
2022-07-07,14:05:45,0,25.78,0.01,-
2022-07-07,14:05:46,0,25.8,0.01,-
2022-07-07,14:05:47,0,25.92,0.0,-
2022-07-07,14:05:48,0,25.8,0.0,-
2022-07-07,14:05:49,0,25.77,0.0,-
2022-07-07,14:05:51,0,25.75,0.01,-
2022-07-07,14:05:52,0,25.79,0.02,-
2022-07-07,14:05:53,0,25.75,0.0,-
2022-07-07,14:05:54,0,25.77,0.01,-
2022-07-07,14:05:55,0,25.78,0.02,-
2022-07-07,14:05:56,0,25.76,0.01,-
2022-07-07,14:05:57,0,25.78,0.0,-
2022-07-07,14:05:58,0,25.82,0.02,-
2022-07-07,14:08:43,0,25.64,0.12,-
2022-07-07,14:08:45,0,25.67,0.01,-
2022-07-07,14:08:54,0,25.65,0.14,-
2022-07-07,14:08:56,0,25.68,0.01,-
2022-07-07,14:08:57,0,25.67,0.0,-
2022-07-07,14:08:59,0,25.67,0.0,-
2022-07-07,14:09:00,0,25.69,0.01,-
2022-07-07,14:09:01,0,25.64,0.0,-
2022-07-07,14:09:02,0,25.68,0.01,-
2022-07-07,14:09:03,0,25.62,0.0,-
2022-07-07,14:09:04,0,25.62,0.0,-
2022-07-07,14:09:05,0,25.66,0.0,-
2022-07-07,14:09:06,0,25.66,0.01,-
2022-07-07,14:09:07,0,25.68,0.01,-
2022-07-07,14:09:08,0,25.69,0.0,-
2022-07-07,14:09:09,0,25.68,0.01,-
2022-07-07,14:09:10,0,25.64,0.0,-
2022-07-07,14:09:11,0,25.69,0.0,-
2022-07-07,14:09:12,0,25.72,0.01,-
2022-07-07,14:11:32,0,25.74,0.13,-
2022-07-07,14:11:34,0,25.74,0.0,-
2022-07-07,14:11:35,0,25.79,0.0,-
2022-07-07,14:11:36,0,25.76,0.01,-
2022-07-07,14:11:37,0,25.77,0.01,-
2022-07-07,14:11:38,0,25.77,0.02,-
2022-07-07,14:11:39,0,25.79,0.01,-
2022-07-07,14:11:40,0,25.79,0.0,-
2022-07-07,14:11:41,0,25.79,0.0,-
2022-07-07,14:11:42,0,25.77,0.01,-
2022-07-07,14:11:43,0,25.78,0.01,-
2022-07-07,14:11:44,0,25.75,0.0,-
2022-07-07,14:11:45,0,25.78,0.0,-
2022-07-07,14:11:46,0,25.78,0.0,-
2022-07-07,14:11:47,0,25.77,0.02,-
2022-07-07,14:12:34,0,25.83,0.12,-
2022-07-07,14:12:36,0,25.8,0.01,-
2022-07-07,14:12:37,0,25.85,0.01,-
2022-07-07,14:12:38,0,25.86,0.02,-
2022-07-07,14:12:39,0,25.85,0.0,-
2022-07-07,14:12:40,0,25.81,0.01,-
2022-07-07,14:12:41,0,25.86,0.0,-
2022-07-07,14:12:42,0,25.86,0.02,-
2022-07-07,14:12:43,0,25.82,0.01,-
2022-07-07,14:12:44,0,25.87,0.01,-
2022-07-07,14:12:45,0,25.81,0.01,-
2022-07-07,14:12:46,0,25.82,0.01,-
2022-07-07,14:12:47,0,25.8,0.0,-
2022-07-07,14:12:48,0,25.94,0.01,-
2022-07-07,14:12:49,0,25.8,0.01,-
2022-07-07,14:12:50,0,25.84,0.01,-
2022-07-07,14:12:51,0,25.89,0.0,-
2022-07-07,14:12:58,0,25.85,0.13,-
2022-07-07,14:13:00,0,25.85,0.0,-
2022-07-07,14:13:01,0,25.84,0.0,-
2022-07-07,14:13:02,0,25.83,0.01,-
2022-07-07,14:13:03,0,25.85,0.01,-
2022-07-07,14:13:04,0,25.86,0.01,-
2022-07-07,14:13:05,0,25.84,0.0,-
2022-07-07,14:13:06,0,25.81,0.02,-
2022-07-07,14:13:07,0,25.86,0.01,-
2022-07-07,14:13:08,0,25.81,0.02,-
2022-07-07,14:13:09,0,25.81,0.02,-
2022-07-07,14:13:11,0,25.83,0.01,-
2022-07-07,14:13:12,0,25.85,0.01,-
2022-07-07,14:13:13,0,25.8,0.0,-
2022-07-07,14:13:14,0,25.83,0.01,-
2022-07-07,14:13:15,0,25.84,0.01,-
2022-07-07,14:13:16,0,25.87,0.0,-
2022-07-07,14:13:17,0,25.84,0.0,-
2022-07-07,14:13:18,0,25.86,0.0,-
2022-07-07,14:13:19,0,25.86,0.02,-
2022-07-07,14:13:20,0,25.9,0.01,-
2022-07-07,14:13:21,0,25.86,0.01,-
2022-07-07,14:13:22,0,25.79,0.01,-
2022-07-07,14:13:23,0,25.85,0.01,-
2022-07-07,14:13:24,0,25.84,0.01,-
2022-07-07,14:13:25,0,25.85,0.01,-
2022-07-07,14:13:26,0,25.86,0.0,-
2022-07-07,14:13:27,0,25.85,0.01,-
2022-07-07,14:13:28,0,25.86,0.01,-
2022-07-07,14:13:29,0,25.82,0.0,-
2022-07-07,14:13:30,0,25.86,0.0,-
2022-07-07,14:13:31,0,25.86,0.01,-
2022-07-07,14:13:32,0,25.85,0.01,-
2022-07-07,14:13:33,0,25.84,0.01,-
2022-07-07,14:13:34,0,25.83,0.0,-
2022-07-07,14:13:35,0,25.9,0.0,-
2022-07-07,14:13:36,0,25.86,0.01,-
2022-07-07,14:13:37,0,25.82,0.0,-
2022-07-07,14:13:38,0,25.86,0.01,-
2022-07-07,14:13:39,0,25.86,0.01,-
2022-07-07,14:13:40,0,25.88,0.0,-
2022-07-07,14:13:41,0,25.86,0.01,-
2022-07-07,14:13:42,0,25.83,0.0,-
2022-07-07,14:13:43,0,25.84,0.01,-
2022-07-07,14:13:44,0,25.85,0.02,-
2022-07-07,14:13:45,0,25.85,0.01,-
2022-07-07,14:13:46,0,25.85,0.0,-
2022-07-07,14:13:47,0,25.82,0.0,-
2022-07-07,14:13:48,0,25.84,0.02,-
2022-07-07,14:13:49,0,25.85,0.02,-
2022-07-07,14:13:50,0,25.85,0.01,-
2022-07-07,14:13:51,0,25.86,0.0,-
2022-07-07,14:13:52,0,25.87,0.01,-
2022-07-07,14:13:53,0,25.84,0.0,-
2022-07-07,14:13:54,0,25.87,0.01,-
2022-07-07,14:13:56,0,25.86,0.0,-
2022-07-07,14:13:57,0,25.86,0.02,-
2022-07-07,14:13:58,0,25.82,0.0,-
2022-07-07,14:13:59,0,25.85,0.01,-
2022-07-07,14:14:00,0,25.85,0.01,-
2022-07-07,14:14:01,0,25.86,0.0,-
2022-07-07,14:14:02,0,25.83,0.0,-
2022-07-07,14:14:03,0,25.83,0.01,-
2022-07-07,14:14:12,0,25.86,0.12,-
2022-07-07,14:14:14,0,25.85,0.01,-
2022-07-07,14:14:15,0,25.85,0.02,-
2022-07-07,14:14:16,0,25.82,0.01,-
2022-07-07,14:14:17,0,25.82,0.0,-
2022-07-07,14:14:32,0,25.85,0.12,-
2022-07-07,14:14:34,0,25.86,0.0,-
2022-07-07,14:14:35,0,25.85,0.01,-
2022-07-07,14:14:36,0,25.86,0.01,-
2022-07-07,14:14:37,0,25.82,0.0,-
2022-07-07,14:14:38,0,25.82,0.02,-
2022-07-07,14:15:51,0,25.86,0.09,-
2022-07-07,14:15:53,0,25.9,0.01,-
2022-07-07,14:15:54,0,25.83,0.02,-
2022-07-07,14:15:55,0,25.85,0.01,-
2022-07-07,14:15:56,0,25.87,0.01,-
2022-07-07,14:15:57,0,25.85,0.0,-
2022-07-07,14:15:58,0,25.86,0.0,-
2022-07-07,14:15:59,0,25.86,0.0,-
2022-07-07,14:16:00,0,25.84,0.01,-
2022-07-07,14:16:01,0,25.86,0.01,-
2022-07-07,14:16:02,0,25.85,0.0,-
2022-07-07,14:16:34,0,25.88,0.12,-
2022-07-07,14:16:36,0,25.94,0.0,-
2022-07-07,14:16:37,0,25.89,0.01,-
2022-07-07,14:16:38,0,25.9,0.0,-
2022-07-07,14:16:39,0,25.9,0.01,-
2022-07-07,14:16:40,0,25.86,0.0,-
2022-07-07,14:16:41,0,25.91,0.0,-
2022-07-07,14:16:42,0,25.9,0.0,-
2022-07-07,14:16:43,0,25.97,0.0,-
2022-07-07,14:16:45,0,25.89,0.0,-
2022-07-07,14:16:46,0,25.9,0.02,-
2022-07-07,14:16:47,0,25.89,0.02,-
2022-07-07,14:17:04,0,25.97,0.12,-
2022-07-07,14:17:06,0,25.93,0.01,-
2022-07-07,14:17:07,0,25.97,0.0,-
